id,title,citation,testament,categories,law_type,penalty,agency,confidence,summary
exo-020-014-no-adultery,No Adultery,Exodus 20:14,Old,Sexual; Family; Moral,prohibition,"Death for both parties (Leviticus 20:10, Deuteronomy 22:22).",Family Purity Administration (FPA),high,"Prohibits adultery — in its original legal sense, intercourse with another man's wife or betrothed; a property-and-paternity offense against the husband."
exo-020-015-no-stealing,No Stealing,Exodus 20:15,Old,Property; Moral; Civil,prohibition,"Restitution: double for possession, four sheep or five oxen for slaughtered/sold animals (Ex 22:1,4); sold into servitude if unable to pay (Ex 22:3).",Restitution Administration (RA),high,"Prohibits theft of property (and, on one ancient reading, theft of persons — kidnapping, cf. Ex 21:16)."
exo-020-016-no-false-witness,No False Witness,Exodus 20:16,Old,Judicial; Moral,prohibition,"Talionic: 'then shall ye do unto him, as he had thought to have done unto his brother' (Deut 19:19) — up to death for false capital testimony.",Covenant Courts,high,Prohibits perjured testimony against a member of the community; the integrity clause of a legal system that runs entirely on witnesses.
exo-020-017-no-coveting,No Coveting,Exodus 20:17,Old,Moral; Property; Family,prohibition,None stated; unenforceable by human courts by design.,National Devotion Service (NDS),high,"Prohibits desiring what belongs to a neighbor — house, wife, servants, livestock. The Decalogue's only regulation of a mental state; also its plainest inventory of persons as property."
exo-020-023-no-gods-of-silver-gold,No Gods of Silver or Gold,Exodus 20:23,Old,Religious; Ceremonial,prohibition,"None stated; the calf episode answers with plague and sword (Ex 32:27-28,35).",Office of Idolatry Prevention (OIP),high,"Restates the image ban with specificity: no manufacturing deities from precious metals, even as companions ('with me') to YHWH's worship."
exo-020-024-earthen-altar,Altar of Earth; Sacrifice Where the Name Is Recorded,Exodus 20:24,Old,Ceremonial; Religious,ritual,None stated.,Department of Worship (DOW),high,"Prescribes simple earthen altars for burnt and peace offerings, valid at every place God 'records his name' — a decentralized, multi-site sacrificial system."
exo-020-025-no-hewn-stone-altar,No Hewn Stone Altars,Exodus 20:25,Old,Ceremonial,ritual,The altar is 'polluted' — ritually void.,Department of Worship (DOW),high,Stone altars must be of uncut fieldstone; applying a tool pollutes the altar.
exo-020-026-no-altar-steps,No Steps Up to the Altar,Exodus 20:26,Old,Ceremonial; Purity,ritual,"None stated; for priests, wrongful exposure at the altar risks death (Ex 28:43).",Department of Worship (DOW),high,"Altars may not be approached by steps, lest the officiant's genitals be exposed beneath his robe while climbing."
exo-021-002-hebrew-servant-six-years,Hebrew Servant Freed in the Seventh Year,Exodus 21:2-3,Old,Civil; Economic; Family,statute,None stated for violation; Jeremiah 34:17 has God sentence release-violators to 'liberty... to the sword.',Office of Servitude Oversight (OSO),high,"Debt servitude of a Hebrew man is capped at six years; in the seventh he goes free without payment, with the wife he brought in."
exo-021-004-masters-wife-and-children,"Master Keeps the Wife He Gave, and Her Children",Exodus 21:4,Old,Civil; Family; Property,statute,None; this is an allocation rule.,Office of Servitude Oversight (OSO),high,"If the master supplied the servant's wife, she and their children remain the master's property at release; the man goes free alone."
exo-021-005-perpetual-service-election,The Awl and the Doorpost: Perpetual Service Election,Exodus 21:5-6,Old,Civil; Ceremonial; Economic,statute,"None; a voluntary (nominally) status change, irrevocable.",Office of Servitude Oversight (OSO),high,A servant may renounce his seventh-year release by formal declaration before the judges; his ear is bored through with an awl at the doorpost and he serves permanently.
exo-021-007-daughter-sold-as-maidservant,Daughter Sold as Maidservant; Redemption Rights,Exodus 21:7-8,Old,Family; Civil; Sexual; Economic,statute,Loss of resale rights for the deceitful master; redemption must be permitted.,Department of Family Order (DFO),high,"A father may sell his daughter as a maidservant-concubine; she is not released on the six-year schedule, but if the master who took her for himself rejects her, she must be allowed redemption and cannot be resold abroad."
exo-021-009-betrothal-to-son,Maidservant Betrothed to the Son: Daughter's Rights,Exodus 21:9,Old,Family; Civil,statute,None stated; vv.10-11 supply the exit remedy for maintenance failures.,Department of Family Order (DFO),high,"If the purchaser assigns the maidservant to his son, her status converts: she must be treated as a daughter of the house, not a servant."
exo-021-010-marital-rights-not-diminished,"Food, Raiment, and Marriage Duty Not Diminished",Exodus 21:10-11,Old,Family; Civil; Sexual,statute,Automatic manumission without redemption payment.,Department of Family Order (DFO),high,"A man who takes an additional wife must not reduce the first's food, clothing, or conjugal rights; failure on any of the three frees her without payment."
exo-021-012-murder-capital,Death for Striking a Man Fatally,Exodus 21:12,Old,Judicial; Civil; Moral,punishment,Death.,Covenant Courts,high,Fatal assault is a capital offense — the apodictic baseline that vv.13-14 immediately grade by intent.
exo-021-013-refuge-for-manslaughter,A Place to Flee for the Unintentional Killer,Exodus 21:13,Old,Judicial; Civil,statute,Exile to refuge in lieu of death; leaving early forfeits protection (Num 35:26-28).,Covenant Courts,high,Killing without premeditation ('God delivered him into his hand') is not capital; the killer flees to an appointed place of asylum.
exo-021-014-no-sanctuary-for-premeditation,Take the Murderer from the Altar,Exodus 21:14,Old,Judicial,statute,"Death, asylum notwithstanding.",Covenant Courts,high,Premeditated murder voids all asylum — even a killer clinging to God's own altar is dragged off and executed.
exo-021-015-striking-parents-capital,Death for Striking Father or Mother,Exodus 21:15,Old,Family; Judicial,punishment,Death.,Covenant Courts,high,"Striking either parent — not killing, striking — is a capital offense."
exo-021-016-kidnapping-capital,Death for Manstealing,Exodus 21:16,Old,Judicial; Civil; Property,punishment,Death.,Department of Righteousness (DOR),high,Kidnapping a person for sale — or being caught holding the victim — is a capital offense.
exo-021-017-cursing-parents-capital,Death for Cursing Father or Mother,Exodus 21:17,Old,Family; Judicial; Religious,punishment,Death (Lev 20:9 adds 'his blood shall be upon him').,Sacred Speech Commission (SSC),high,"Cursing — invoking harm on, or contemptuously repudiating — a parent is a capital offense. Speech alone suffices."
exo-021-018-assault-compensation,Assault: Lost Time and Full Healing,Exodus 21:18-19,Old,Civil; Judicial,statute,Compensatory damages: lost time plus complete cure. No further liability.,Restitution Administration (RA),high,"Non-fatal fight injuries are settled civilly: the striker pays for the victim's lost work time and full medical recovery, then is quit."
exo-021-020-beating-a-servant,Beating a Servant: Punished Only If Death Is Swift,Exodus 21:20-21,Old,Civil; Judicial; Economic,statute,Unspecified punishment ('avenged') for immediate death; nothing if death is delayed.,Office of Servitude Oversight (OSO),high,"A master who beats a slave to immediate death is punished; if the slave lingers a day or two before dying, there is no penalty — 'for he is his money.'"
exo-021-022-injury-to-pregnant-woman,Striking a Pregnant Woman: Fine for the Lost Pregnancy,Exodus 21:22,Old,Civil; Family; Judicial,statute,"Judicially ratified fine, amount proposed by the husband.",Family Purity Administration (FPA),high,"If brawling men injure a pregnant woman and she miscarries but suffers no further harm ('no mischief'), the offender pays a fine set by the husband and ratified by judges."
exo-021-023-lex-talionis,"Life for Life, Eye for Eye",Exodus 21:23-25,Old,Judicial; Civil,judicial_instruction,"Mirror injury (or its monetary equivalent, per the entire subsequent legal tradition).",Covenant Courts,high,"The lex talionis: where lasting harm follows, the penalty mirrors the injury exactly — life, eye, tooth, hand, foot, burn, wound, stripe."
exo-021-026-servant-freed-for-eye-or-tooth,Servant Freed for a Destroyed Eye or Tooth,Exodus 21:26-27,Old,Civil; Economic; Judicial,statute,Mandatory manumission of the injured slave.,Office of Servitude Oversight (OSO),high,"A master who destroys a slave's eye or tooth must free the slave — manumission as the damages award, in place of talion."
exo-021-028-goring-ox,"The Goring Ox: Stone the Ox, Owner Quit","Exodus 21:28,31",Old,Civil; Property; Judicial,statute,Stoning of the ox; flesh unusable; owner exempt (first offense).,Restitution Administration (RA),high,An ox that kills a person is stoned and its meat is taboo; the owner of a first-offense ox bears no liability. The rule applies equally when the victim is a child.
exo-021-029-negligent-owner-capital,"The Known Goring Ox: Owner Dies, Unless Ransomed",Exodus 21:29-30,Old,Civil; Judicial; Property,statute,"Death for the owner, commutable by assessed ransom; ox stoned regardless.",Covenant Courts,high,"If the ox was a known gorer, formally attested to the owner, and he failed to confine it, a killing makes the owner capitally liable — though uniquely, he may ransom his life for whatever sum is assessed."
exo-021-032-ox-gores-servant,Ox Gores a Servant: Thirty Shekels to the Master,Exodus 21:32,Old,Civil; Economic; Property,statute,Thirty shekels of silver to the slave's master; ox stoned. The slave's estate receives nothing.,Restitution Administration (RA),high,"When the victim is a slave, capital exposure vanishes: the owner pays the slave's master thirty shekels; the ox is still stoned."
exo-021-033-open-pit-liability,The Open Pit: Digger Pays for the Fallen Beast,Exodus 21:33-34,Old,Civil; Property,statute,Full value compensation to the animal's owner; salvage to the payer.,Restitution Administration (RA),high,Whoever opens or digs a pit and leaves it uncovered pays the owner of any ox or ass that falls in; the carcass belongs to the payer.
exo-021-035-ox-hurts-ox,"Ox Gores Ox: Split the Live One, Split the Dead",Exodus 21:35-36,Old,Civil; Property,statute,"No-fault: equal division of live-ox proceeds and carcass. Negligence: full ox-for-ox replacement, salvage to payer.",Restitution Administration (RA),high,"When one ox kills another: no-fault case, sell the live ox and split both proceeds and carcass; known-gorer case, the negligent owner pays full replacement and keeps the dead animal."
ezr-009-001-holy-seed-mingled,The Holy Seed Mingled — Foreign Contact Defiles,"Ezra 9:1-2, 10:2-3",Old,Family; Religious; Governmental,precedent,"Expulsion of the foreign spouse and the children of the union ('put away all the wives, and such as are born of them').",Department of Righteousness (DOR),high,Returned exiles who intermarried with the peoples of the surrounding lands are held to have defiled 'the holy seed' by contact itself; Ezra leads a covenant to 'put away' the foreign wives and their children as the remedy.
gen-017-010-circumcision-covenant-sign,Circumcision on the Eighth Day (the Covenant Sign),Genesis 17:10-14,Old,Ceremonial; Family; Religious,command,"Being 'cut off from his people' — covenant exclusion, the loss of belonging itself.",Bureau of Ritual Cleanliness (BRC),high,Every male is circumcised on the eighth day as the physical token of the covenant; the uncircumcised is 'cut off' — excluded from the covenant people.
gen-038-009-seed-not-spilled-onan,The Seed Not Spilled (Onan) — the Biological Sanctity Doctrine,Genesis 38:9-10,Old,Sexual; Family; Moral,precedent,"Death, by God directly.",Family Purity Administration (FPA),medium,"Onan, refusing to father a child for his dead brother, 'spilled his seed on the ground' and God killed him — the narrative from which a whole doctrine of the sanctity and proper destination of 'seed' is derived."
hag-002-011-contagious-uncleanness,Uncleanness Spreads by Touch; Holiness Does Not,Haggai 2:11-13,Old,Purity; Religious,judicial_instruction,"Not punitive in itself; it is the stated mechanism by which contact renders a person, offering, or object unclean, which then triggers whatever penalty attaches to the resulting impurity.",Department of Righteousness (DOR),high,"A priestly ruling, given as a formal legal question-and-answer: consecrated holiness does not transmit by mere contact, but corpse-uncleanness does. Impurity is contagious; sanctity is not."
lev-024-005-bread-of-the-presence,The Bread of the Presence (Showbread) — for the Priests Only,Leviticus 24:5-9,Old,Ceremonial; Religious,ritual,"None stated; the restriction is by holiness ('most holy'), and lay consumption would profane it.",Department of Worship (DOW),high,"Twelve cakes of fine flour are set weekly on the pure table before God; the old bread belongs to the priests alone, to be eaten in the holy place — sacred food no layman may touch."
num-005-011-jealousy-ordeal-sotah,The Ordeal of Jealousy (the Bitter Water),Numbers 5:11-31,Old,Judicial; Sexual; Family; Religious,ritual,"For the 'guilty': the belly to swell and the thigh to rot — reproductive destruction, and to 'be a curse among her people.' For the husband: 'the man shall be guiltless' regardless of outcome.",Family Purity Administration (FPA),high,"A husband who suspects his wife of adultery but has no witnesses brings her to the priest, who makes her drink 'bitter water'; guilt manifests as her 'belly swelling and thigh rotting' (traditionally read as a state-induced miscarriage or reproductive ruin), innocence as fertility."
rom-001-026-vile-affections-women,Women Who Change the Natural Use (the Extension to Female Conduct),Romans 1:26-27,New,Sexual; Moral,judicial_instruction,"None stated directly in the text; it is descriptive ('God gave them up'), not a civil statute prescribing a human penalty — unlike Leviticus 20:13's explicit capital sentence for the male case.",Family Purity Administration (FPA),medium,Paul's catalogue of Gentile idolatry's consequences names both female and male same-sex conduct as evidence of a society 'given up' by God; it is the only passage in either testament that names female homosexuality by description rather than silence.
